"ID","SMR","Calendar","Eng_Speed_Max","Eng_Speed_Ave","Blowby_Press_Max","LF_Exh_Temp_Max","LR_Exh_Temp_Max","RF_Exh_Temp_Max","RR_Exh_Temp_Max","Boost_Press_Max","E_Oil_P_Max","E_Oil_P_Lo_Min","E_Oil_P_Hi_Min","E_Oil_Tmp_Max","Fuel_Rate","Cool_Temp_Max","Cool_Temp_Min","TM_Oil_Temp_Max","Ambient_Temp_Max","Ambient_Temp_Ave","Ambient_Temp_Min","Atomos_Press_Ave","F_Brake_P_Max","R_Brake_P_Max","Travel_Speed_Max","ECO_ON","Machine_Serial"
"87093627","16417","2019-02-25 14:29:50","2255","1515","1339.8592841848","736","637","496","714","16722.749056796","5.4043030488427","1.3255837666973","3.9767513000918","96","93.1","80","36","87","19","11","6","830","188.64076679923","187.62108697869","38.1","1079","9550"
"87093626","16397","2019-02-24 10:50:17","2284","1484","1252.1668196186","716","616","460","714","16518.813092689","6.0161109411645","1.3255837666973","3.9767513000918","95","87","79","37","84","25","11","7","840","189.66044661976","188.64076679922","36.6","324","9550"
"87093625","16377","2019-02-23 08:22:59","2393","1492","1224.6354644642","717","727","615","722","16824.71703885","6.2200469052717","1.2236157846436","3.9767513000918","95","89","79","17","89","18","9","1","840","190.6801264403","188.64076679922","38.6","1575","9550"
"87093624","16356.9","2019-02-21 18:17:22","2297","1487","1302.1311308249","439","567","399","729","16926.685020903","5.7102069950036","1.2236157846436","3.8747833180381","95","89.4","79","36","82","19","6","1","840","189.66044661976","187.62108697869","37.8","295","9550"
"87093623","16336.9","2019-02-20 16:12:24","2307","1481","1314.3672886714","695","560","399","729","16926.685020903","6.0161109411645","1.2236157846436","3.8747833180381","95","89.5","80","36","82","16","8","2","830","189.66044661976","187.62108697869","37.2","500","9550"
"87093622","16316.9","2019-02-19 14:09:21","2300","1477","1283.7768940553","710","535","727","730","16824.71703885","6.0161109411645","1.3255837666973","3.8747833180381","96","88.4","80","39","83","17","9","5","830","189.66044661976","187.62108697869","36.8","354","9550"
"87093621","16296.9","2019-02-18 10:09:47","2302","1443","1293.9736922606","720","707","669","704","16824.71703885","6.2200469052717","1.3255837666973","4.2826552462527","95","78.5","79","24","85","20","10","5","830","189.66044661976","187.62108697869","39.2","555","9550"
"87093620","16276.9","2019-02-16 22:27:37","2325","1517","1261.3439380035","741","729","562","728","16416.845110635","6.6279188334863","1.4275517487509","4.2826552462527","94","86","81","15","87","21","13","9","830","189.66044661976","187.62108697869","37.3","526","9550"
"87093619","16256.9","2019-02-15 08:43:33","2390","1454","1364.3315998776","682","600","684","701","16722.749056796","6.2200469052717","1.3255837666973","4.0787192821454","92","79.1","77","34","83","16","10","3","840","189.66044661976","187.62108697869","38.3","1291","9550"
"87093618","16236.9","2019-02-14 01:34:45","2306","1511","1356.1741613133","691","574","686","654","16926.685020903","6.3220148873254","1.3255837666973","3.9767513000918","92","84.3","77","28","81","14","6","2","840","189.66044661976","187.62108697869","36.2","900","9550"
"87093613","16136.8","2019-02-08 00:05:28","2261","1489","1203.2221882329","695","570","645","692","16926.685020903","6.1180789232181","1.3255837666973","3.8747833180381","93","81.2","77","22","90","18","8","1","840","189.66044661976","187.62108697869","37.9","801","9550"
"87093614","16156.8","2019-02-09 08:32:49","2243","1550","1197.1041093097","715","611","701","699","16620.781074743","6.2200469052717","1.2236157846436","3.8747833180381","94","84.8","78","29","80","24","11","6","840","188.64076679923","187.62108697869","36.3","1903","9550"
"87093611","16096.8","2019-02-05 15:01:27","2263","1440","1218.5173855409","709","607","677","634","17028.653002957","5.8121749770572","1.3255837666973","3.8747833180381","90","75.1","76","32","80","11","3","0","840","189.66044661976","187.62108697869","37.8","287","9550"
"87093612","16116.8","2019-02-06 17:25:26","2249","1562","1188.9466707454","708","675","681","676","17028.653002957","5.9141429591108","1.3255837666973","3.9767513000918","92","85.2","77","36","90","19","4","0","840","188.64076679923","187.62108697869","38.1","323","9550"
